
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = 
     poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
2/3/6/7/10/11/12           38 -1061.78 2201.42 249.70   0.00
1/2/3/5/7/9/10/11/12       55 -1043.77 2201.44 249.73   0.00
1/2/3/5/8/9/10             53 -1045.91 2201.45 249.73   0.00
1/2/3/5/7/8/9/10/12        55 -1043.77 2201.45 249.73   0.00
2/3/6/7/10/12              37 -1062.85 2201.46 249.74   0.00
2/3/6/7/8/10/11            38 -1061.82 2201.49 249.78   0.00
3/5/6/8/10/12              55 -1043.91 2201.73 250.01   0.00
1/2/3/5/7/8/9/10           54 -1045.03 2201.83 250.11   0.00
3/5/6/8/10                 54 -1045.03 2201.83 250.11   0.00
1/2/3/5/7/9/10/11          54 -1045.04 2201.85 250.13   0.00
2/3/6/7/8/10               37 -1063.07 2201.91 250.20   0.00
2/3/6/10/11/12             37 -1063.13 2202.02 250.31   0.00
2/3/6/8/10/11              37 -1063.14 2202.05 250.34   0.00
1/2/4/10/12                20 -1080.83 2202.17 250.46   0.00
1/2/4/8/10/12              21 -1079.82 2202.22 250.50   0.00
1/6/9/10/11                36 -1064.43 2202.54 250.82   0.00
1/3/5/9/11/12              47 -1052.87 2202.59 250.88   0.00
1/3/5/8/9/12               47 -1052.91 2202.67 250.95   0.00
2/3/6/10/12                36 -1064.51 2202.68 250.97   0.00
1/3/5/9                    45 -1055.05 2202.71 251.00   0.00
1/3/5/7/9                  46 -1054.06 2202.85 251.13   0.00
1/2/3/5/7                  44 -1056.18 2202.85 251.14   0.00
1/3/5/7/9/11/12            48 -1051.97 2202.91 251.20   0.00
1/3/5/7/8/9/12             48 -1051.98 2202.93 251.21   0.00
1/2/3/5/7/12               45 -1055.18 2202.97 251.25   0.00
1/2/3/5/8/9/10/11/12       55 -1044.54 2202.99 251.27   0.00
1/2/3/5                    43 -1057.31 2203.01 251.29   0.00
3/5/6/8/10/11              55 -1044.55 2203.01 251.30   0.00
3/5/6/8/10/11/12           56 -1043.49 2203.04 251.33   0.00
1/2/3/5/12                 44 -1056.30 2203.10 251.38   0.00
2/3/6/7/8/10/11/12         39 -1061.59 2203.15 251.43   0.00
2/3/6/8/10                 36 -1064.76 2203.18 251.47   0.00
1/2/4/7/10/12              21 -1080.39 2203.35 251.64   0.00
2/3/6/7/8/10/12            38 -1062.77 2203.40 251.69   0.00
1/2/3/5/8/9/10/11          54 -1045.85 2203.46 251.75   0.00
1/5/6/7/10                 52 -1048.00 2203.49 251.78   0.00
1/2/6/9/10/11              40 -1060.73 2203.52 251.81   0.00
1/2/3/5/7/8/9/10/11/12     56 -1043.74 2203.55 251.83   0.00
1/2/4/10/11/12             21 -1080.50 2203.57 251.86   0.00
1/6/9/10/11/12             37 -1063.91 2203.58 251.86   0.00
1/2/4/7/8/10/12            22 -1079.51 2203.66 251.94   0.00
2/3/6/8/10/11/12           38 -1062.90 2203.67 251.95   0.00
1/2/3/5/7/8/12             46 -1054.57 2203.87 252.15   0.00
1/2/4/8/10/11/12           22 -1079.65 2203.93 252.21   0.00
1/2/3/5/7/8/9/10/11        55 -1045.02 2203.95 252.23   0.00
1/2/3/5/8/12               45 -1055.68 2203.96 252.25   0.00
4/5/7/9                    34 -1067.27 2204.04 252.32   0.00
1/5/6/10                   51 -1049.34 2204.05 252.33   0.00
4/5/7/9/12                 35 -1066.24 2204.07 252.35   0.00
1/6/7/9/10/11              37 -1064.17 2204.11 252.40   0.00
4/5/7/8/9                  35 -1066.28 2204.14 252.43   0.00
1/4/10/12                  16 -1085.99 2204.32 252.60   0.00
1/2/4/10                   19 -1082.93 2204.33 252.62   0.00
1/2/3/5/7/8                45 -1055.97 2204.56 252.84   0.00
2/3/6/8/10/12              37 -1064.40 2204.57 252.86   0.00
1/2/4/7/10/11/12           22 -1079.98 2204.58 252.86   0.00
1/3/5/8/9                  46 -1054.94 2204.60 252.89   0.00
1/6/8/9/10/11              37 -1064.42 2204.61 252.89   0.00
1/5/6/7/8/10               53 -1047.49 2204.62 252.90   0.00
1/2/3/5/8                  44 -1057.09 2204.68 252.96   0.00
1/3/5/8/9/11/12            48 -1052.87 2204.71 253.00   0.00
1/3/5/7/8/9                47 -1053.94 2204.73 253.01   0.00
1/3/5/9/11                 46 -1055.02 2204.77 253.06   0.00
1/5/6/7/10/12              53 -1047.60 2204.83 253.11   0.00
1/2/3/5/7/11               45 -1056.15 2204.90 253.19   0.00
1/3/5/7/9/11               47 -1054.05 2204.96 253.24   0.00
1/2/3/5/7/11/12            46 -1055.14 2205.01 253.30   0.00
1/3/5/7/8/9/11/12          49 -1051.97 2205.04 253.32   0.00
1/2/6/7/9/10/11            41 -1060.47 2205.11 253.40   0.00
1/2/3/5/11                 44 -1057.31 2205.12 253.40   0.00
4/5/7/8/9/12               36 -1065.73 2205.13 253.42   0.00
1/5/6/8/10                 52 -1048.85 2205.18 253.47   0.00
1/5/6/10/12                52 -1048.85 2205.20 253.49   0.00
1/6/7/9/10/11/12           38 -1063.67 2205.21 253.49   0.00
1/2/3/5/11/12              45 -1056.30 2205.21 253.49   0.00
1/2/4/7/8/10/11/12         23 -1079.28 2205.25 253.53   0.00
1/2/6/8/9/10/11            41 -1060.55 2205.26 253.54   0.00
1/4/8/10/12                17 -1085.46 2205.30 253.58   0.00
1/2/6/9/10/11/12           41 -1060.58 2205.33 253.61   0.00
1/5/6/7/8/10/12            54 -1046.78 2205.33 253.61   0.00
1/6/9/10                   35 -1066.91 2205.40 253.68   0.00
1/2/4/7/10                 20 -1082.48 2205.47 253.76   0.00
1/5/6/7/10/11              53 -1047.93 2205.48 253.77   0.00
1/6/8/9/10/11/12           38 -1063.82 2205.50 253.79   0.00
1/5/6/8/10/12              53 -1048.02 2205.67 253.96   0.00
1/2/4/8/10                 20 -1082.63 2205.77 254.06   0.00
1/2/4/10/11                20 -1082.63 2205.78 254.07   0.00
1/5/6/10/11                52 -1049.18 2205.86 254.14   0.00
1/4/10/11/12               17 -1085.74 2205.86 254.14   0.00
1/3/5/9/10/12              49 -1052.39 2205.89 254.17   0.00
1/4/7/10/12                17 -1085.76 2205.91 254.19   0.00
4/5/7/9/11                 35 -1067.16 2205.91 254.19   0.00
4/5/7/9/11/12              36 -1066.13 2205.93 254.21   0.00
1/2/3/5/7/8/11/12          47 -1054.56 2205.96 254.24   0.00
1/2/3/5/8/11/12            46 -1055.68 2206.08 254.36   0.00
1/2/6/9/10                 39 -1063.06 2206.08 254.36   0.00
1/6/9/10/12                36 -1066.22 2206.12 254.40   0.00
4/5/7/8/9/11               36 -1066.23 2206.13 254.41   0.00
1/6/7/8/9/10/11            38 -1064.17 2206.20 254.48   0.00
1/3/5/7/9/10/12            50 -1051.54 2206.31 254.60   0.00
1/5/6/7/8/10/11            54 -1047.35 2206.47 254.76   0.00
1/6/7/9/10                 36 -1066.47 2206.62 254.90   0.00
1/2/3/5/7/8/11             46 -1055.95 2206.63 254.92   0.00
1/3/5/8/9/11               47 -1054.91 2206.68 254.96   0.00
1/2/4/7/10/11              21 -1082.09 2206.74 255.03   0.00
1/2/3/5/8/11               45 -1057.09 2206.79 255.08   0.00
1/5/6/8/10/11              53 -1048.59 2206.82 255.10   0.00
1/3/5/7/8/9/11             48 -1053.94 2206.85 255.13   0.00
1/5/6/7/10/11/12           54 -1047.55 2206.87 255.15   0.00
1/2/6/8/9/10/11/12         42 -1060.30 2206.87 255.16   0.00
1/2/6/7/8/9/10/11          42 -1060.30 2206.88 255.16   0.00
1/2/6/7/9/10/11/12         42 -1060.34 2206.95 255.23   0.00
1/4/7/8/10/12              18 -1085.30 2207.03 255.31   0.00
1/2/4/7/8/10               21 -1082.25 2207.07 255.35   0.00
2/3/6/9/11                 39 -1063.56 2207.08 255.36   0.00
1/4/8/10/11/12             18 -1085.33 2207.09 255.37   0.00
4/5/7/8/9/11/12            37 -1065.66 2207.09 255.38   0.00
1/5/6/10/11/12             53 -1048.74 2207.11 255.39   0.00
1/6/7/8/9/10/11/12         39 -1063.60 2207.17 255.45   0.00
1/5/6/7/8/10/11/12         55 -1046.66 2207.23 255.51   0.00
4/5/7/9/10                 37 -1065.74 2207.25 255.53   0.00
1/2/6/7/9/10               40 -1062.60 2207.26 255.54   0.00
1/4/7/10/11/12             18 -1085.46 2207.34 255.62   0.00
1/2/4/8/10/11              21 -1082.40 2207.37 255.65   0.00
1/5/6/8/10/11/12           54 -1047.81 2207.38 255.67   0.00
1/6/7/9/10/12              37 -1065.84 2207.45 255.74   0.00
1/6/8/9/10                 36 -1066.90 2207.48 255.76   0.00
1/3/5/9/10                 48 -1054.28 2207.54 255.82   0.00
3/5/6/7                    51 -1051.13 2207.61 255.89   0.00
1/2/6/9/10/12              40 -1062.78 2207.63 255.91   0.00
3/6/7/9/10/11/12           40 -1062.79 2207.64 255.92   0.00
2/3/6/7/9/11               40 -1062.80 2207.66 255.94   0.00
4/5/7/9/10/12              38 -1064.91 2207.67 255.96   0.00
4/5/7/8/9/10               38 -1064.91 2207.68 255.97   0.00
3/6/7/9/10/11              39 -1063.94 2207.84 256.12   0.00
1/3/5/9/10/11/12           50 -1052.34 2207.90 256.18   0.00
1/3/5/7/9/10               49 -1053.40 2207.90 256.19   0.00
1/3/5/8/9/10/12            50 -1052.39 2208.01 256.29   0.00
1/2/6/8/9/10               40 -1063.00 2208.06 256.35   0.00
3/5/6/7/12                 52 -1050.34 2208.17 256.45   0.00
1/6/8/9/10/12              37 -1066.21 2208.18 256.46   0.00
2/3/6/9                    38 -1065.17 2208.20 256.48   0.00
2/3/6/7/9                  39 -1064.12 2208.20 256.48   0.00
1/2/4/8/12                 18 -1085.90 2208.23 256.51   0.00
1/3/5/7/9/10/11/12         51 -1051.52 2208.41 256.69   0.00
1/3/5/7/8/9/10/12          51 -1051.54 2208.44 256.72   0.00
1/2/4/7/8/10/11            22 -1081.93 2208.50 256.78   0.00
1/2/6/7/8/9/10/11/12       43 -1060.08 2208.54 256.82   0.00
3/6/9/10/11/12             39 -1064.32 2208.59 256.88   0.00
1/2/3/5/10                 46 -1056.94 2208.61 256.89   0.00
1/2/3/5/7/10               47 -1055.91 2208.68 256.96   0.00
1/6/7/8/9/10               37 -1066.47 2208.70 256.98   0.00
1/2/4/12                   17 -1087.17 2208.72 257.00   0.00
1/4/7/8/10/11/12           19 -1085.13 2208.73 257.01   0.00
3/6/9/10/11                38 -1065.44 2208.75 257.03   0.00
3/5/6                      50 -1052.82 2208.87 257.15   0.00
4/5/7/8/9/10/12            39 -1064.46 2208.89 257.17   0.00
1/2/6/7/9/10/12            41 -1062.36 2208.89 257.18   0.00
2/3/6/9/11/12              40 -1063.43 2208.92 257.21   0.00
1/2/3/5/10/12              47 -1056.07 2208.98 257.27   0.00
4/5/7/9/10/11              38 -1065.58 2209.02 257.30   0.00
1/2/3/5/7/10/12            48 -1055.03 2209.03 257.31   0.00
2/3/6/8/9/11               40 -1063.55 2209.17 257.45   0.00
1/4/10                     15 -1089.44 2209.17 257.45   0.00
3/6/7/9/10/12              39 -1064.62 2209.20 257.48   0.00
3/5/6/12                   51 -1051.93 2209.22 257.50   0.00
1/2/6/7/8/9/10             41 -1062.54 2209.26 257.54   0.00
4/5/7/9/10/11/12           39 -1064.74 2209.43 257.72   0.00
3/5/6/7/11                 52 -1050.99 2209.46 257.75   0.00
1/2/6/8/9/10/12            41 -1062.65 2209.47 257.76   0.00
2/3/6/7/9/11/12            41 -1062.67 2209.50 257.79   0.00
1/3/5/8/9/10               49 -1054.21 2209.52 257.80   0.00
1/6/7/8/9/10/12            38 -1065.83 2209.53 257.81   0.00
1/3/5/9/10/11              49 -1054.23 2209.56 257.85   0.00
1/2/5/6/7/10               56 -1046.76 2209.57 257.85   0.00
4/5/7/8/9/10/11            39 -1064.81 2209.59 257.87   0.00
3/6/7/8/9/10/11            40 -1063.77 2209.61 257.89   0.00
3/6/7/8/9/10/11/12         41 -1062.75 2209.66 257.95   0.00
3/5/6/7/8                  52 -1051.11 2209.71 257.99   0.00
2/3/6/7/8/9/11             41 -1062.79 2209.74 258.02   0.00
3/6/7/9/10                 38 -1065.97 2209.80 258.08   0.00
1/2/3/5/8/10/12            48 -1055.42 2209.80 258.09   0.00
2/3/6/9/12                 39 -1064.95 2209.86 258.15   0.00
1/3/5/7/8/9/10             50 -1053.32 2209.88 258.16   0.00
1/2/3/5/7/8/10/12          49 -1054.40 2209.89 258.18   0.00
2/3/6/7/9/12               40 -1063.92 2209.90 258.18   0.00
1/2/5/6/10                 55 -1048.01 2209.93 258.21   0.00
1/3/5/12                   40 -1063.94 2209.93 258.22   0.00
4/5/9                      33 -1071.30 2210.00 258.28   0.00
1/3/5/7/12                 41 -1062.92 2210.00 258.29   0.00
1/3/5/7/9/10/11            50 -1053.39 2210.01 258.29   0.00
1/3/5/8/9/10/11/12         51 -1052.33 2210.02 258.30   0.00
3/5/6/7/8/12               53 -1050.21 2210.06 258.34   0.00
3/5/6/7/11/12              53 -1050.23 2210.09 258.37   0.00
1/2/4/8/11/12              19 -1085.82 2210.11 258.40   0.00
1/2/4/7/8/12               19 -1085.83 2210.14 258.42   0.00
2/3/6/7/8/9                40 -1064.05 2210.16 258.45   0.00
2/3/6/8/9                  39 -1065.11 2210.19 258.47   0.00
1/2/3/5/8/10               47 -1056.68 2210.20 258.49   0.00
1/2/5/6/7/8/10             57 -1046.03 2210.26 258.55   0.00
1/2/3/5/7/8/10             48 -1055.67 2210.32 258.60   0.00
1/2/4/11/12                18 -1086.95 2210.32 258.60   0.00
3/5/6/11                   51 -1052.53 2210.42 258.71   0.00
1/2/4/7/12                 18 -1087.03 2210.48 258.77   0.00
1/3/5/7/8/9/10/11/12       52 -1051.52 2210.53 258.82   0.00
3/6/8/9/10/11              39 -1065.32 2210.60 258.88   0.00
4/5/9/12                   34 -1070.56 2210.62 258.90   0.00
1/2/5/6/8/10               56 -1047.29 2210.64 258.93   0.00
3/6/8/9/10/11/12           40 -1064.29 2210.65 258.93   0.00
1/2/3/5/10/11              47 -1056.94 2210.73 259.01   0.00
1/2/3/5/7/10/11            48 -1055.89 2210.75 259.04   0.00
4/5/7/8/9/10/11/12         40 -1064.35 2210.77 259.05   0.00
1/2/6/7/8/9/10/12          42 -1062.25 2210.77 259.05   0.00
1/4/7/10                   16 -1089.22 2210.78 259.07   0.00
1/4/10/11                  16 -1089.23 2210.80 259.08   0.00
4/5/8/9                    34 -1070.69 2210.88 259.16   0.00
3/5/6/11/12                52 -1051.70 2210.89 259.17   0.00
3/6/9/10/12                38 -1066.52 2210.91 259.19   0.00
3/5/6/8                    51 -1052.80 2210.95 259.24   0.00
2/3/6/8/9/11/12            41 -1063.43 2211.03 259.31   0.00
3/6/7/8/9/10/12            40 -1064.49 2211.04 259.32   0.00
3/5/6/8/12                 52 -1051.78 2211.06 259.34   0.00
1/2/3/5/7/10/11/12         49 -1055.00 2211.10 259.38   0.00
1/2/3/5/10/11/12           48 -1056.07 2211.11 259.39   0.00
1/3/5/8/12                 41 -1063.50 2211.17 259.46   0.00
1/2/5/6/7/10/12            57 -1046.49 2211.18 259.46   0.00
1/4/8/10                   16 -1089.42 2211.19 259.47   0.00
4/5/9/11                   34 -1070.87 2211.22 259.51   0.00
3/6/7/8/9/10               39 -1065.65 2211.26 259.54   0.00
1/3/5/7/8/12               42 -1062.50 2211.27 259.56   0.00
1/4/12                     13 -1092.57 2211.36 259.64   0.00
1/2/5/6/10/12              56 -1047.67 2211.39 259.67   0.00
1/2/5/6/7/8/10/12          58 -1045.53 2211.42 259.70   0.00
1/2/5/6/7/10/11            57 -1046.61 2211.42 259.71   0.00
3/6/9/10                   37 -1067.87 2211.50 259.79   0.00
1/2/4                      16 -1089.60 2211.53 259.82   0.00
3/5/6/7/8/11               53 -1050.95 2211.54 259.82   0.00
1/2/5/6/10/11              56 -1047.74 2211.54 259.82   0.00
1/3/5/8/9/10/11            50 -1054.17 2211.56 259.85   0.00
2/3/6/7/8/9/11/12          42 -1062.67 2211.61 259.89   0.00
1/2/5/6/8/10/12            57 -1046.70 2211.61 259.89   0.00
1/4/8/12                   14 -1091.70 2211.67 259.95   0.00
1/3/5                      39 -1065.87 2211.70 259.98   0.00
1/3/5/7                    40 -1064.83 2211.72 260.01   0.00
4/5/9/11/12                35 -1070.10 2211.77 260.05   0.00
3/5/6/7/8/11/12            54 -1050.08 2211.92 260.20   0.00
1/2/3/5/8/10/11/12         49 -1055.41 2211.92 260.21   0.00
2/3/6/8/9/12               40 -1064.93 2211.93 260.21   0.00
1/2/5/6/7/8/10/11          58 -1045.79 2211.94 260.22   0.00
2/3/6/7/8/9/12             41 -1063.89 2211.95 260.23   0.00
1/2/4/7/8/11/12            20 -1085.73 2211.98 260.26   0.00
1/2/4/7/11/12              19 -1086.76 2211.99 260.27   0.00
1/3/5/7/8/9/10/11          51 -1053.32 2211.99 260.28   0.00
1/2/3/5/7/8/10/11/12       50 -1054.39 2212.00 260.29   0.00
1/2/5/6/8/10/11            57 -1046.91 2212.02 260.30   0.00
1/3/5/11/12                41 -1063.93 2212.03 260.31   0.00
1/3/5/7/11/12              42 -1062.89 2212.05 260.34   0.00
4/5/8/9/12                 35 -1070.27 2212.12 260.40   0.00
4/5/8/9/11                 35 -1070.32 2212.21 260.50   0.00
1/4/7/10/11                17 -1088.97 2212.32 260.60   0.00
1/2/3/5/8/10/11            48 -1056.68 2212.32 260.61   0.00
1/2/3/5/7/8/10/11          49 -1055.66 2212.42 260.70   0.00
3/5/6/8/11                 52 -1052.49 2212.47 260.76   0.00
1/2/4/8                    17 -1089.11 2212.59 260.87   0.00
3/5/6/8/11/12              53 -1051.51 2212.66 260.94   0.00
2/4/7/9/10/12              20 -1086.14 2212.79 261.08   0.00
3/6/8/9/10/12              39 -1066.43 2212.82 261.10   0.00
1/4/7/8/10                 17 -1089.22 2212.82 261.10   0.00
1/4/8/10/11                17 -1089.23 2212.84 261.12   0.00
1/4/11/12                  14 -1092.30 2212.86 261.14   0.00
2/4/7/9/10                 19 -1087.24 2212.94 261.23   0.00
2/4/9/10/11                19 -1087.30 2213.08 261.36   0.00
3/6/8/9/10                 38 -1067.61 2213.08 261.37   0.00
1/2/5/6/8/10/11/12         58 -1046.37 2213.08 261.37   0.00
1/2/5/6/7/10/11/12         58 -1046.37 2213.09 261.37   0.00
1/2/5/6/10/11/12           57 -1047.45 2213.10 261.39   0.00
2/4/9/10                   18 -1088.34 2213.11 261.39   0.00
2/4/9/10/12                19 -1087.33 2213.13 261.41   0.00
1/2/5/6/7/8/10/11/12       59 -1045.32 2213.14 261.42   0.00
2/4/9/10/11/12             20 -1086.33 2213.17 261.46   0.00
1/2/4/11                   17 -1089.40 2213.18 261.46   0.00
4/5/9/10                   36 -1069.77 2213.20 261.49   0.00
1/2/4/7                    17 -1089.45 2213.28 261.56   0.00
1/3/5/8/11/12              42 -1063.50 2213.28 261.56   0.00
2/4/7/9/10/11/12           21 -1085.38 2213.33 261.62   0.00
1/4/7/12                   14 -1092.55 2213.36 261.64   0.00
1/3/5/7/8/11/12            43 -1062.49 2213.36 261.65   0.00
4/5/8/9/11/12              36 -1069.85 2213.38 261.66   0.00
2/4/7/9/10/11              20 -1086.45 2213.42 261.70   0.00
1/4/8/11/12                15 -1091.60 2213.49 261.77   0.00
1/3/5/8                    40 -1065.82 2213.70 261.98   0.00
1/4/7/8/12                 15 -1091.70 2213.70 261.98   0.00
1/3/5/7/8                  41 -1064.79 2213.74 262.03   0.00
1/3/5/7/11                 41 -1064.81 2213.79 262.07   0.00
1/3/5/11                   40 -1065.87 2213.80 262.08   0.00
4/5/9/10/12                37 -1069.21 2214.18 262.47   0.00
4/5/9/10/11                37 -1069.22 2214.21 262.50   0.00
1/4/7/8/10/11              18 -1088.97 2214.36 262.64   0.00
4/5/8/9/10                 37 -1069.31 2214.38 262.66   0.00
1/2/4/8/11                 18 -1088.98 2214.39 262.68   0.00
1/2/4/7/8                  18 -1089.01 2214.44 262.72   0.00
2/4/7/8/9/10               20 -1087.10 2214.72 263.00   0.00
1/2/3/7/9/12               29 -1077.85 2214.80 263.08   0.00
1/2/3/9/12                 28 -1078.90 2214.81 263.09   0.00
1/2/4/7/11                 18 -1089.20 2214.82 263.10   0.00
1/4/7/11/12                15 -1092.26 2214.82 263.11   0.00
2/4/7/8/9/10/12            21 -1086.13 2214.84 263.12   0.00
2/4/8/9/10                 19 -1088.31 2215.09 263.37   0.00
2/4/8/9/10/11              20 -1087.29 2215.10 263.39   0.00
2/4/8/9/10/11/12           21 -1086.28 2215.14 263.42   0.00
4/5/9/10/11/12             38 -1068.64 2215.14 263.42   0.00
2/4/8/9/10/12              20 -1087.31 2215.15 263.43   0.00
2/4/7/8/9/10/11            21 -1086.37 2215.31 263.59   0.00
2/4/7/8/9/10/11/12         22 -1085.38 2215.39 263.67   0.00
4/5/8/9/10/11              38 -1068.82 2215.51 263.79   0.00
1/4/7/8/11/12              16 -1091.59 2215.51 263.80   0.00
1/3/5/10/12                43 -1063.60 2215.58 263.86   0.00
1/3/5/8/11                 41 -1065.82 2215.80 264.08   0.00
1/3/5/7/8/11               42 -1064.77 2215.82 264.10   0.00
4/5/8/9/10/12              38 -1068.98 2215.83 264.11   0.00
1/3/5/7/10/12              44 -1062.67 2215.83 264.11   0.00
3/6/7/10/11                33 -1074.23 2215.87 264.15   0.00
1/2/4/7/8/11               19 -1088.85 2216.17 264.45   0.00
3/6/7/10/11/12             34 -1073.40 2216.29 264.58   0.00
1/3/5/8/10/12              44 -1063.11 2216.73 265.01   0.00
1/2/3/7/9/11/12            30 -1077.82 2216.81 265.09   0.00
1/2/3/9                    27 -1080.93 2216.81 265.09   0.00
1/3/5/10                   42 -1065.28 2216.83 265.11   0.00
1/2/3/8/9/12               29 -1078.88 2216.84 265.13   0.00
1/2/3/7/8/9/12             30 -1077.84 2216.85 265.13   0.00
1/2/3/7/9                  28 -1079.92 2216.85 265.13   0.00
1/2/3/9/11/12              29 -1078.89 2216.88 265.16   0.00
4/5/8/9/10/11/12           39 -1068.46 2216.89 265.17   0.00
1/3/5/7/8/10/12            45 -1062.20 2217.01 265.30   0.00
3/6/10/11                  32 -1075.88 2217.08 265.37   0.00
1/4                        12 -1096.45 2217.09 265.37   0.00
1/3/5/7/10                 43 -1064.36 2217.11 265.39   0.00
3/6/7/10                   32 -1076.04 2217.41 265.69   0.00
3/6/7/10/12                33 -1075.02 2217.45 265.73   0.00
3/6/10/11/12               33 -1075.04 2217.49 265.77   0.00
1/3/5/10/11/12             44 -1063.59 2217.69 265.97   0.00
3/6/7/8/10/11              34 -1074.15 2217.80 266.08   0.00
1/3/5/7/10/11/12           45 -1062.64 2217.89 266.17   0.00
3/6/7/8/10/11/12           35 -1073.17 2217.92 266.20   0.00
2/3/6/11                   33 -1075.52 2218.44 266.73   0.00
1/4/11                     13 -1096.23 2218.70 266.98   0.00
1/2/3/8/9                  28 -1080.86 2218.74 267.03   0.00
1/2/3/7/8/9                29 -1079.83 2218.75 267.03   0.00
1/3/5/8/10                 43 -1065.19 2218.76 267.04   0.00
1/3/5/8/10/11/12           45 -1063.11 2218.84 267.12   0.00
1/2/3/7/9/11               29 -1079.89 2218.86 267.14   0.00
1/2/3/7/8/9/11/12          31 -1077.81 2218.87 267.15   0.00
1/2/3/9/11                 28 -1080.93 2218.88 267.16   0.00
2/3/6/7/11                 34 -1074.69 2218.88 267.16   0.00
1/4/8                      13 -1096.34 2218.90 267.18   0.00
1/2/3/8/9/11/12            30 -1078.88 2218.92 267.20   0.00
1/3/5/10/11                43 -1065.28 2218.94 267.22   0.00
3/6/8/10/11                33 -1075.77 2218.95 267.23   0.00
2/3/6/7                    33 -1075.80 2219.01 267.29   0.00
3/6/8/10/11/12             34 -1074.76 2219.01 267.30   0.00
1/3/5/7/8/10               44 -1064.29 2219.07 267.35   0.00
1/4/7                      13 -1096.43 2219.08 267.37   0.00
1/3/5/7/8/10/11/12         46 -1062.19 2219.11 267.40   0.00
2/3/6                      32 -1076.93 2219.18 267.47   0.00
1/3/5/7/10/11              44 -1064.35 2219.19 267.47   0.00
1/5/6                      48 -1060.14 2219.24 267.53   0.00
3/6/7/8/10/12              34 -1074.92 2219.32 267.61   0.00
3/6/10/12                  32 -1077.01 2219.33 267.62   0.00
1/5/6/7                    49 -1059.12 2219.35 267.63   0.00
3/6/10                     31 -1078.07 2219.37 267.66   0.00
3/6/7/8/10                 33 -1076.03 2219.46 267.75   0.00
2/3/6/8/11                 34 -1075.05 2219.58 267.87   0.00
1/5/6/8                    49 -1059.31 2219.72 268.00   0.00
1/5/6/7/8                  50 -1058.26 2219.75 268.03   0.00
1/2/3/9/10/12              31 -1078.28 2219.81 268.09   0.00
1/2/3/7/9/10/12            32 -1077.26 2219.85 268.13   0.00
1/5/6/8/12                 50 -1058.38 2219.99 268.27   0.00
2/3/6/7/8/11               35 -1074.26 2220.10 268.39   0.00
1/5/6/7/8/12               51 -1057.46 2220.28 268.56   0.00
1/5/6/12                   49 -1059.66 2220.41 268.70   0.00
2/3/6/11/12                34 -1075.50 2220.49 268.77   0.00
1/4/8/11                   14 -1096.17 2220.59 268.88   0.00
2/3/6/7/8                  34 -1075.55 2220.60 268.88   0.00
1/4/7/11                   14 -1096.19 2220.65 268.93   0.00
1/5/6/7/12                 50 -1058.74 2220.71 269.00   0.00
2/3/6/8                    33 -1076.66 2220.72 269.01   0.00
1/2/3/7/8/9/11             30 -1079.79 2220.74 269.02   0.00
1/2/3/8/9/11               29 -1080.86 2220.81 269.09   0.00
1/3/5/8/10/11              44 -1065.19 2220.87 269.15   0.00
1/4/7/8                    14 -1096.32 2220.91 269.19   0.00
2/3/6/7/11/12              35 -1074.68 2220.94 269.23   0.00
2/3/6/7/12                 34 -1075.76 2221.01 269.30   0.00
2/3/6/12                   33 -1076.86 2221.12 269.41   0.00
3/6/8/10/12                33 -1076.86 2221.13 269.41   0.00
1/3/5/7/8/10/11            45 -1064.27 2221.16 269.44   0.00
1/5/6/11                   49 -1060.03 2221.16 269.45   0.00
3/6/8/10                   32 -1078.04 2221.39 269.68   0.00
1/5/6/7/11                 50 -1059.08 2221.39 269.68   0.00
1/5/6/8/11                 50 -1059.11 2221.45 269.73   0.00
2/3/6/8/11/12              35 -1074.96 2221.49 269.78   0.00
1/6/9/11                   33 -1077.07 2221.55 269.83   0.00
1/5/6/7/8/11               51 -1058.15 2221.66 269.94   0.00
1/2/6/9/11                 37 -1072.96 2221.68 269.97   0.00
1/5/6/8/11/12              51 -1058.21 2221.79 270.07   0.00
1/2/3/9/10                 30 -1080.34 2221.84 270.12   0.00
1/2/3/8/9/10/12            32 -1078.27 2221.86 270.14   0.00
1/2/3/9/10/11/12           32 -1078.28 2221.89 270.17   0.00
1/2/3/7/9/10/11/12         33 -1077.24 2221.89 270.17   0.00
1/2/3/7/8/9/10/12          33 -1077.26 2221.92 270.20   0.00
1/2/3/7/9/10               31 -1079.36 2221.97 270.25   0.00
2/3/6/7/8/11/12            36 -1074.19 2222.06 270.34   0.00
1/5/6/7/8/11/12            52 -1057.36 2222.22 270.50   0.00
1/5/6/11/12                50 -1059.59 2222.41 270.69   0.00
3/6/7/9/11                 36 -1074.39 2222.46 270.74   0.00
2/3/6/7/8/12               35 -1075.45 2222.48 270.76   0.00
2/3/6/8/12                 34 -1076.51 2222.50 270.79   0.00
3/6/9/11                   35 -1075.48 2222.53 270.82   0.00
1/4/7/8/11                 15 -1096.14 2222.57 270.86   0.00
1/5/6/7/11/12              51 -1058.72 2222.80 271.08   0.00
3/6/7/9/11/12              37 -1073.58 2222.93 271.21   0.00
